TSNE1,TSNE2,Cluster
-43.38356,-42.354588,1
-10.306894,-5.1354914,0
-10.576938,-14.875702,1
36.41954,-73.37808,1
-38.620773,-76.8562,1
44.294613,-48.617203,1
76.5482,-60.104954,1
0.14978872,-74.52719,1
-36.07458,58.478897,0
75.66748,-59.136272,1
53.49336,-37.37521,1
-13.718433,19.059782,1
19.66575,-31.297003,1
-36.99479,55.008774,0
-87.889175,21.37138,0
-3.9452944,29.04143,0
-71.95954,-7.7346215,0
-45.790863,32.862003,0
17.66394,-74.01328,1
104.167786,8.487648,1
-15.750108,22.126535,1
-69.73835,-4.658603,0
44.3529,-4.225244,1
-42.97084,36.1918,0
15.790619,-77.610214,1
4.7364883,-5.1026444,1
-20.792671,4.6143036,0
-33.564663,-44.33981,1
69.59769,36.789135,1
-11.76487,-14.584551,1
55.180645,8.058091,1
-35.73596,72.9145,0
18.759012,-77.45944,1
69.97012,-23.884586,1
30.988037,3.0656843,1
-39.49534,14.927224,1
-12.486209,-39.382515,0
74.525085,19.028519,1
6.038001,-4.167651,1
40.852524,-16.142313,1
-21.757923,61.356316,0
8.316423,-73.43134,1
19.753782,65.79049,1
39.277218,-22.37008,1
-20.869259,-42.556274,1
19.23857,64.262405,1
56.57792,-41.159817,1
29.999374,-1.7505528,1
-8.492373,-1.8133372,0
-29.23991,-65.255356,1
1.3502346,-35.49003,1
-30.582664,-14.130307,1
0.7410452,33.276157,1
5.043061,38.230827,0
90.587555,-27.58527,1
-61.27228,-18.410032,0
-40.710526,-31.472984,1
0.39825836,36.86473,1
-22.179638,56.84076,0
-30.8318,-64.069565,1
22.583605,2.6036234,1
51.620514,81.1735,1
-5.0242543,-25.3204,1
50.933956,-53.04462,1
-22.525074,1.3979172,0
68.78701,3.9211733,0
-27.819973,-68.21689,1
-28.002197,-65.86144,1
11.236198,16.316803,0
-5.552608,23.699223,1
-80.23461,17.82462,0
4.1638494,-7.0894685,1
-37.121773,-75.48825,1
-39.726433,4.839202,1
-67.32056,9.63307,0
65.30556,-0.9029161,1
-87.94581,-4.1238284,0
8.207121,-68.12626,1
-66.68964,14.28665,0
4.5562,11.463089,1
35.613026,-23.429726,1
19.23857,64.262405,1
60.03564,-12.259292,1
60.92295,-42.515347,1
50.89154,-53.903667,1
-25.027348,-68.97325,1
-0.69998014,-56.6156,1
-56.69486,45.017235,0
2.2383883,12.724208,1
12.793046,-31.792202,1
-43.35809,41.53708,0
-39.897038,-15.409526,1
44.28479,-29.408285,1
18.239447,-22.10874,0
-21.880281,14.658063,0
1.819828,-72.73223,1
-68.22193,-22.117676,0
55.436245,-12.122146,1
28.915737,-68.15899,1
-31.864964,-14.7465515,1
-71.815025,-25.341558,0
53.116222,-40.11005,0
62.953247,-43.69672,1
38.57426,-77.909325,1
16.6666,-47.733902,1
-31.770967,-6.1905413,1
87.65175,-26.069862,1
20.709143,-73.773315,1
65.036766,21.788078,1
-15.543345,11.417995,0
-37.28438,8.167741,1
36.737537,7.0164847,1
53.90114,-18.460537,1
-11.333005,34.75862,0
33.88378,-2.7697968,1
82.07482,-24.203508,1
-13.426134,72.451035,0
-30.64097,-81.67837,1
-25.945116,-50.279297,1
-86.43172,6.482338,0
79.75781,25.38492,1
39.61743,50.73323,1
51.620514,81.1735,1
-96.76894,14.128787,0
67.190605,-1.16765,1
-23.971508,-26.331352,1
-23.726059,-11.916277,1
-42.507885,46.063465,0
10.187945,-84.71062,1
33.8472,-70.60203,1
-77.51204,-13.853045,0
50.06187,-39.287117,1
-25.051565,-13.629239,1
-43.637676,20.515415,0
-19.834309,-27.937853,1
-7.615094,3.5801916,0
75.28539,14.541216,1
69.21143,-58.316868,1
9.931545,-83.79333,1
51.620514,81.1735,1
89.99952,34.340897,1
46.63131,-56.99881,1
1.5836328,57.69874,0
-27.878819,7.6812825,0
-3.5598304,-83.97392,1
-68.72265,2.805445,0
-17.618198,-81.812515,1
-20.290497,-11.872959,0
48.43407,79.983925,1
74.29185,18.991173,1
-38.980114,-46.941822,1
-23.816166,-7.513403,1
2.3608358,-8.859063,1
-36.42731,-39.373024,1
9.545945,-9.1876,0
-25.341707,-19.681381,1
82.07502,-24.202915,1
-35.115677,-45.243584,1
59.747456,-41.320282,1
1.3400694,13.314461,1
18.587084,5.1041303,1
-32.668427,77.68312,0
-57.925026,-17.870422,0
-37.733078,-37.32526,1
65.21184,-1.0785238,1
-31.657717,63.1288,0
-41.49002,-38.668846,1
